	Too vague.  Begs the issue of when an agent has goals, e.g. does a thermostat really have a goal.	Too long, not really a definition.	Too long, not really a definition	Goals	Not sure how to decide if something has foresight, or if that should be a defining characteristic.	Both vague and narrow	Might as well say "ability to do a lot of stuff"	
	Depending on how we measure. Quantifying is probably very difficult (at best).	If the last sentence was gone it would be close to optimal. However, the whole "rationality" thing implies human rationality, which probably is debatable. 	As long as systems are plural, and we are not saying one system to do it all. It is important to not wish for optimal behavior.		Foresight, perhaps. 	Rationality is an extremely fuzzy concept and quite likely an illusion in humans (unless you are an economist of course).	This in particular seems to ignore the whole hardware/embodiment issue. There is a core issue as to whether "human-like" intelligence can be achieved on a digital platform. 	Bias might (do) arise from the data any system uses. That unbiased guidance might be a goal if perhaps a good idea. However, probably impossible.  
It is simple and clear, but doesn't seem to convey the complexity of the subject, as if accomplishing these 3 tasks is sufficient.	It seems something is missing. Figuring out what the agent's goal is, should it be part of intelligence too?	It seems incomplete, more than just adapting, maybe there should be something about achieving. Also, I am not sure that working in real-time is an absolute requirement for intelligence.	This is not quite a definition, but rather a short list of requirements		It is clear, simple, while implying the complexity of the subject.	Is intelligence all about acting? I believe there is more, for example learning from the outcome of past actions (which were not necessarily the best actions, and not necessarily taken with the full knowledge of a situation)	The use of "common sense" seems debatable to me	
	It's too vague. What is wide?			This is way too specific				Why should humans be in the definition of machine intelligence? 
								In its purpose, yes, it should be. In practice, I'd say that it's not the major and the only use case.
Still vague, but at first glance this one seems a little more practical	Pretty vague and hackable	So, mitochondria are intelligent? BTW, brute force also deals with finite processing capacity (and real time is pretty flexible if we look at it at different time scales). Also, rationality is a different topic, which is about rational decision making cycle, not adaptation (so this grade is worse than "disagree", but double the "disagree") 	What are these cognitive capabilities? Also, optimal means we have a measurable evaluation criteria and metrics, what are those? How do multi-criterial decisions comply with optimal behavior? 	Trying to add probabilistic views into this definition is nice, but we still try to measure the ill-defined intelligence in terms of goals and environments, which fits RL agents, but has little to do with humans and subhuman intelligent creatures 	Substitute "intelligence" with "magic" and you get a new startup trend (all aboard the artificial magic hype train choo choo). 	I see what you did there. It is a definition about rational agents, not intelligence. Hopefully, intelligent agents should be rational, but the main difference between intelligent agents and rational decision making algorithms is that intelligent agents will be the ones to set their goals and their evaluation criteria on their way to making decisions (including hypothesis generation, choosing the optimal one and executing it).	Something Kurzweil could say in one of his singularity-related prophecies	Somewhat something prescriptive analytics redefined? And what about agent-free analytics? Can a search index and even array sorting (median/IQR estimate) be considered MI?
								
This definition is not general enough	This definition is not general enough	This definition is not general enough	This definition is not general enough	This definition is not general enough	This definition is not general enough	This definition is not general enough	This definition is not general enough	This definition is not general enough
				A bit technical				Sounds like machine intelligence would be something completely different from human intelligence
								
This is interesting! I agree, however I am not sure how we can measure the computational power, especially when we consider the embodiment part of the intelligence where a part of the world knowledge is embedded in the shape and material of the parts composing the agent... still interesting!	Defining intelligent machine using the word intelligent is not that helpful.	Yes, but not only that	To base the definition of "machine intelligence" on human service or any other human centered reference would be a limitation if not a mistake in the field. If needed, there must be 2 definitions, one for "Machine intelligence" and one for "Intelligence for human services".	Too broad of a statement 	Yes! now the problem is what is reasoning?	The goal is to comprehend our own intelligence by creating intelligences and failing to do so. The notion of optimal behavior is completely subjective, is it optimal from a task point of view, an energetic point of view or an evolutionary point of view ? all are correct when neither is at the same time (for what we know this far).	Why rational? Based on what? why the best action ? based on what ? Are human intelligent beings ? do they always take the best actions? do they take the best actions even often ? 	The relative rationality part is a reductive part, implying rationality means that the definition is switched to this term now.
								
Vague, but agreeable.		I don't think this part is necessary "while working with insufficient knowledge and resources" But the idea of relative rationality is appealing.	This would be a definition of "artificial human" not AI	Disagree - I think that AI should be able to define its own goals for an environment.	So a prediction algorithm is sufficiently intelligent?	Similar to #1	Why humans? Intelligence need not be measured in human-units.	Why service to humans?
Too broad as it says nothing about how well it perceives, reasons and acts.  It also includes all of vision, signal processing and robotics which are distinct fields.  	Pro: It not too limiting, con: by this definition every agent is intelligent, just a question of how much. 	It says nothing about how well the system works in that environment. It says nothing about creativity of the solutions. 	It says nothing about how well the system works in that environment. It says nothing about creativity of the solutions.	Pro: It not too limiting, con: by this definition every agent is intelligent, just a question of how much.	Any computer program can function appropriately and with the foresight provided by its programmers. 	Intelligence need not be rational, and rarely takes the best possible action.  And a definition with "ideally" in it does not say what happens most of the time. 	It’s not a definition, it’s a statement. 	Intelligence need not be rational or unbiased and has nothing to do with service to humans. 
Seems reasonable, though it shouldn't be a field (study of); it should be more of a thing, e.g. AI is the ability to perceive, reason, and act. 	It's not just about doing; it's sometimes about thinking. Though Alva Noë's book Action in Perception argues the opposite, you probably get my point. 	too constrained / contextualized	Sound basically like, "Act like humans," which seems reasonable. 	Seems true, but not well-written. Too academic.	I agree with the statement, but it's not sufficient to define the richness of intelligence. 	Don't like the word choices b/c "rational" is not necessarily the best possible action. This definition could lead to favoring utilitarian ethics. 	Sounds reasonable but not too academic. 	There's no such thing as unbiased when information is filtered. Thus, this leans towards too much emphasis on rational and hiding the bias. 
	Intelligence is not necessarily about achieving,	Adaptation and learning are hallmarks of intelligence.	The criteria seems a bit human-centric to me.  			"best possible action" is not well defined. 		Intelligence is not about being unbiased, it's about having the right bias. Intelligence is not about serving humans. 
								
								
Perception, reasoning and action are all components of exhibiting intelligent behavior.	A robust automatic control system is capable of meeting this definition, but does not necessarily demonstrate intelligence beyond that of its designer.	The ability to work on unexpected tasks is an important part of intelligence. Simply following programming to accomplish pre-computed activities does not constitute intelligence.	Intelligent behavior does not necessarily have to be exhibited across a wide range of domains.	It is not clear that efficiency of computation should be considered a proxy for intelligence.	Self-referential. Foresight could be part of a suitable definition, but it needs to be separated from model predictive control.	Arguably, human intelligence is focused on finding solutions that are good enough rather than best in many cases.	This has an aspiration that is generally true to traditional AI research rather than incorporating existing technologies that are increasingly being branded as AI as marketing exercises.	This definition could encapsulate a printed flow chart that captures knowledge but does not demonstrate innate intelligence.
								
Problem solving and automatic inference should be algorithmic	Intelligence is proportional to  optimality of found solutions	I agree: Intelligence is the possibility to interact with the environment to get a gain	I agree. Computer solving capabilities should mimic those of humans	I repeat, intelligence is proportional to  optimality of found solutions	Interaction with the environment is the clue!	Intelligence is concerned with finding an effective solution although not optimal	Common sense is far from machines, they are not social entities,	Computers should serve for life level improvements
						"best possible" is ambiguous; the two previous definitions were clearer.		This mixes goals in with ability - an intelligent agent may have no desire or need to guide humans
								
		We still use "AI" to refer to particular, fairly limited tasks.  	AI does good work by solving particular subtasks.		I think we can do a lot with particular tasks, and call it AI, though we have done diddlysquat for "foresight".	There can be many different notions of "best".	This is not a well-formed sentence.  Sentence fragment.	This is best honored in the failures --- if we program it, we tend to program in our own biases.  If it evolves, it will evolve its own biases.
Too much anthropocentric 	A very weak but acceptable definition.	I agree with the working definition as it gives an operational measure to recognize the presence or not of an artificial intelligent system in front of us. On the other hand, I don't support the "relative rationality" interpretation. Intelligence isn't (just) rationality, which is one of the "modus operandi" that an intelligent system can switch on, according to the context and its needs.	The very concept of optimal behavior clashes with the concept of creativity, which entails failure, which is not optimal, which is the source of intelligent behavior. So yes, an intelligent system must not generate any optimal behavior.	If this very same definition would be applied to a human would you feel comfortable in being defined in this way? Why shouldn't an intelligent machine perceive and feel the same then?	Cumbersome	Again, rationality is a very limited and restricted attitude of any intelligent creature. Over stating the importance of rationality is a typical Western bias.		This would fit better the definition of a slave system rather the definition of an intelligent system.
This is one of possible frameworks for the study of AI.	Achieving goals or ability to predict/anticipate is only a part of general human intelligence.	This is too simplistic view. I do not believe in one single definition for all sorts of intelligences human possess - emotional, social etc.  "Intelligence " is very complex phenomenon and it is not always about adaptation - it might be about ability to construct and change, to anticipate what is invisible immediately to lead and not only to obey.	I believe we will need HUMAN level intelligences for situations where humans are involved in collaboration with machines. We will also need different kinds of intelligences that are quicker, parallel and different in varieties of ways from human intelligence - as intelligent systems capable of communication with thousands of other intelligent systems. For human intelligence level we have humans. That is why we will develop more powerful intelligences for specific usages.	This is nice definition, but again it is within the framework that may not be of major interest if we are studying social intelligence. It will help us better to understand underlying mechanisms but not what social intelligence is about.	Again this definition captures only a part of it. Not only the ability to adapt and use immediately available resources from the environment to fulfil immediately foreseeable goals but even the intelligence of a genius capable to redefine goals and re-conceptualize the environment. In short, it is impossible to compress all the aspect of the use of the term "intelligence" into one single definition. More effective would be to draw a taxonomy from which it could be clearly visible how different uses differ, why they are common, and how they relate to each other.	In 1983 an American developmental psychologist Howard Gardener described 9 types of intelligence: Naturalist (nature smart) Musical (sound smart) Logical-mathematical (number/reasoning smart) Existential (life smart) Interpersonal (people smart) Bodily-kinesthetic (body smart) Linguistic (word smart) Intra-personal (self smart) Spatial (picture smart) Only one of those is Logical-mathematical - kind of intelligence AI wants to mimic. Gardner, Howard (1983), Frames of Mind: The Theory of Multiple Intelligences, Basic Books.	This again takes only a subset of multiple intelligences.	Human level machine intelligence is an ability of a machine which, if possessed by human, would be considered intelligence. And human intelligence should be seen as all of them, with rational intelligence as a subset. Machine super intelligence would be generalization of the above.
			The definition of artificial intelligence should not depend on human-level intelligence because human intelligence has (also) no clear definition.			The terms "rational" and "best possible action" need further explanation.		I prefer an abstract definition without specifying a purpose, here: service to humans.
						Not a criterion that characterizes human intelligence.		Subjugated intelligence... we may want to maintain it in MI, but it shouldn't define MI.
act?  choose actions, maybe, but not control effectors	why pick out wide range? you can have an intelligent chess machine	doesn't get at function, attributes are not essential	not my goal for AI	why normalized in...		defining "best possible" action is also subject to thought	why general	intelligence is not optimality
								
Same as above. Perceive/Reason are human verbs. Machine obtain input and produce output (Both can be multi-modal, multi-dimensional and as complex as needs be) . If the output is  useful and correct   - that's good enough.	Depending what the goal is. Not all require a broad-range-of-environments.	Human intelligence has many contexts and many meanings in the different contexts. Machine intelligence seems much simpler to define (e.g. changing behavior over time, learning/adaptation, and maximizing some kind of reward based utilizing this change.)  Hence, I disagree with a single definition of intelligence (which seems to be driven by the definer's own goals).	I do not think that an intelligent machine need have the Full Range of Cognitive Capabilities human  have. Do we even KNOW what this full-range is in humans? I do not think so.	Agree with the last part. I would not call it pragmatic General intelligence though, but rather pragmatic way of defining intelligence for the purpose of defining Machine Intelligence.	Again - the Foresight is a human property. All one needs is a machine that delivers. Can we please stop attributing human properties to machines? Describing Machines using machine-related nouns and verbs (as in not saying that submarines/boats can Swim) would make the definition of machine intelligence so much simpler...	I assume this refers to Machine Intelligence (Intelligent Agent) and it seems like a sturdy enough definition for this purpose.	See all of the above. 	Again, specific-purpose driven, argumentative/philosophy-centered in nature, and not pragmatic enough. I would like to have machine that do useful things. Washing machine that washes effectively is intelligent enough and a machine that would predict earth-quakes or disease correctly is intelligent enough. Unbiased or rational are not needed if the machine simply does its job well.
this describes AI as the "study"	this seems more like procedural effectiveness not intelligence		leaves out mention of the real-world contexts, complexities and emotions that make us human and that machines could and should not be expected to learn	I don't understand it		the term "rational" needs clarification	I do not think it is possible for machines to have common sense--that is a human quality (and a dubious one at that)	I do not believe that any machine (since it is made by humans) is truly unbiased
								
						This criterion is not true of realistic systems even for "simple" games like Go.		
Too narrow a definition	Lack something about self-consciousness 	Intelligence is not only about rationality, even relative				Emotions are a huge part of decision-making processes	What is common sense? Impossible to define. The abstract part is interesting 	
	focus too much on flexibility	too machine learning centric	restricts work to focus on human-like cognition.	too computational, and too specific to a particular computational paradigm	again, relatively bland, but seems to encompass most of the work in AI	seems so bland as to be almost meaningless, but on the other hand it does apply	human-centric, but otherwise okay	unbiased? based on training/programming done by humans? that seems unrealistic, to say the least.
This definition lacks emphasis on knowledge representation.		It includes the notion of bounded computational resources	I think breadth of knowledge allows to tackle more realistic problems. Incidentally, this is one of the things current AI methods are particularly bad at. The issue is also underrepresented in AI literature, so a definition of AI which includes this notion will benefit research in a much needed direction.	I find this definition too vague.	This definition is not constructive (it does not qualify or define intelligence).	There should be Intelligence in the selection of what is best as well, and this seems to be an even harder problem.	I don't think artificial intelligence should be defined in comparison to humans.	
"Study of the computations"?  Strange phrasing	This isn't a definition of artificial intelligence, it is a (poorly specified and vague) definition of one metric of intelligence.	This is a reasonable statement about one aspect of intelligence, but not a unique definition.	This is a reasonable statement about one aspect of intelligence, but not a unique definition.	Slightly better, but entirely inaccessible to the public.  Lots of ivory tower academic language	This is a circular statement. Also "appropriately" and "with foresight" are not well defined.	This is a somewhat vague statement.  Both "rational" and "best possible" have unclear definitions.	"Common sense" is not well defined.  "Matching humans" is not a goal.  One would hope machines could be much more intelligent than humans.	This statement focuses on service to humans, which is restrictive, and leaves several terms undefined including "agent", "rational", "guidance", and "optimal"
								
I rather like this definition but would prefer to replace "computations" with "algorithms" (since the former imply to me a certain kind of platform, and future potential platforms that are (for example) partly cell-based or implemented by chemicals in test tubes present an unnecessary stretch).  Also, by specifying that AI is "the study that", it does not apply to the actual quality of acting 'intelligently'; it is merely the name of a discipline.  	This is not wrong per se but is too restrictive a definition.  In the narrow sense "measures" is concerned only with an assay procedure and metrics, while intelligence, to me, is a characteristic of the actual processing/'thinking', not the measurement process.  (That is, you can replace the first word in this definition with "IQ tests and similar" and still get this restrictive reading.)  Further, this definition does not require that there be a wide range of different kinds of goals, so it applies (in its intended wider reading) to too many special-purpose algorithms.  	This provides some of the main characteristics of intelligence (regardless of the platform it 'executes' on), and I agree with them.  But it has flaws: it lacks the core characteristic of being (generally) purposive/goal-based, and misses a "be" before "open".  And then one can add a sentence to specify the platform as "artificial" or "machine" if one wants.  	This is a fine answer too, but less general than the first one in that it starts off with the "computer systems" clause.  I like the addition of non-optimal behavior at the end.  	This definition is not bad at all in a technical sense, except that it is rather wordy and requires specialized technical knowledge ("prior distributions", "goal space", "environment space") that the general public and journalists do not possess.  So it's not really helpful as a core definition.   	This definition is not bad but it also punts its core parts, in this case the word "appropriately" and "function".  So it needs more.  	This is not wrong per se but punts defining the essential characteristics to the words "rational" and "best possible".  So it's not much of a definition without additional material.  	I rather like this, again with the proviso that it includes the first part "Machines matching humans in general intelligence".  Dropping that, and defining [general] intelligence by the part after the dash, is quite good.  Again the word "effective" is troublesome.  	This introduces two problems: MI being in the service of humans and MI being unbiased and 'rational'.  Both these requirements are socially normative (i.e., require the ethical/evaluative judgment of an external observer) and I think that has no place being core aspect of the definition of intelligence.  
								
Not clear why it has to be computation only. What if we can have a hybrid system - that has some (analog) control system embodied in the solution?	Too ambiguous.	This definition emphasizes key performance criteria for a machine to demonstrate intelligence - adaptation, incomplete information, finite resources, timely response, execute (and perhaps synthesize) tasks that are not pre-defined and self-improvement.	Such a system is a worthy goal. If designed well and implemented, it would provide new insights into the nature of human intelligence. Eliciting and understanding the nature of human intelligence is a laudable goal - perhaps, not the best focus for machine intelligence.	Has a strong modeling-assumptions flavor to it.	Ambiguous.	We now know that even humans are not rational! For example, humans know that they need to control nutrition intake to manage their wellness - and we all know that we give in to temptations.	Not clear why machines must match human intelligence. 	The environment we interact with is complex and cannot be adequately modeled. Thus, optimal outcome is a far reaching objective that is difficult to achieve. Again, understanding what can be an optimal solution helps us understand the nature of the environment and the nature of the solutions being considered. 
"perceive" and "reason" are just as ill-defined as "intelligence"	This is a vaguer version of the first definition, which I like.	The definition is functional it describes qualities we want any agent human or otherwise to possess in order to operate autonomously in real situations.	Intelligence and intelligent behavior should not be equated with human intelligence and behavior.	This is the same as first definition, formulated in scientific jargon.	This "definition" uses ill-defined concepts to define intelligence and vaguely points to aspects of the first clear functional definition.	Rational and "best" are just as vague as intelligence. This is not a definition.	We should make AI for pragmatic goals, whose achievement requires a degree of autonomy and many qualities of human intelligence, but we should not try to create entities that are like us wondering why they are intelligent and what their purpose, if any, is.	Our machines already do all that. Yet, we do not think of them as AI
								
								
Too vague.	This is part of intelligence, but not all.	This definition leaves out any notion of tasks that an intelligent system is expected to do.	We know how to make human-level intelligences:  make more humans.  A better goal is to augment human-level intelligence.	Too abstract.	Too vague.	Rationality is too narrowly defined to be useful.		
								
								
		Work in real time seems too vague and also too restrictive.	Machine intelligence should open the way for new forms of intelligence beyond human capacity. It should excel in tasks that humans do poorly to augment human capabilities. Merely mimicking human behavior is very restrictive. Machine intelligence should generate locally optimal behavior since that's what machines are good at.					
This is a good pragmatic platform for AI research		Nice but misses the requirement of being capable of generating goals over long time horizons	Too vague			Useless. What is "rational" how is "best possible action" defined?		
		I like the focus on adaptiveness, but finite processing capacity is superfluous (not needed in theory and in practice unavoidable).	dislike the coupling to humans - many animals are intelligent under my definition of intelligence.					machine intelligence exists without the presence of humans.
		The theory of niche construction indicates that we do not just adapt to our environment, but we also adapt to those adaptations. I believe this needs to be added to the above definition 	Optimization is a matter of context, so the conditions for optimal behavior are in continuous flux and the computation that is required to attain optimal behavior would need to change faster than it would take to achieve it.			Yes, but there are tradeoffs in complex systems, so the notion best possible action is not really achievable.		
								
A thermostat perceives, reasons, and acts.  Necessary, but not sufficient.	Flexible goal directedness is a good indication of cognitive ability	It's plausible, but there's no good rationale for precisely these criteria 	Generality is important, but humanity is not. There are many things about humans that are necessarily true of a general intelligence.  E.g. "Tell me a story about losing your virginity" most humans can do, but is not a requirement for intelligence	Eh. Again, necessary, but not sufficient. Achieving goals is important, but so is setting them. Using priors is important, but doesn't explain how novel explanations arise.  Efficiency in computational resources is not the only kind of efficiency that matters.	Seems vacuous.  "Appropriate," while not wrong, obscures important aspects of our ignorance	Humans evolved to be what they are due to reproductive fitness, like all other organisms.  Rationality is not always the same as fitness.	Seems reasonable, although it's not even a well formed sentence, let alone a hypothesis.  Common Sense is just a string of letters :-) 	There are many forms of intelligence, not all (by which I mean no observed instances) of which are rational.  I'd be happy with a machine intelligence that was interesting to converse with on an ongoing basis.
Not clear or precise enough, though true.	I think this properly frames the problem. Perhaps it could be improved by adding a clause necessitating the use of limited resources (time, computational power etc.).	I don't agree with the word "adapting"; perhaps "understanding patterns and natural laws, rules etc that hold in the environment and using them in one's benefit or towards solving a problem". I do agree with the inclusion of the clause on limited resources and knowledge.	Partly true, but we should not employ a human-centric view of intelligence.	Really intelligent agents should be able to function (to some extent) also in unknown, previously unseen environments.	Same as above, except that "appropriately" is perhaps not the right word. An intelligent agent should not just act "appropriately"; it should exhibit goal-oriented behavior.	True, but it needs to be extended with the clause about limited resources. Also it is not clear what constitutes a "best possible action" (best for whom?). Perhaps grounding it into "solving any arbitrarily presented problem".	I think this fits the bill more-or-less, except that we should not assume that human intelligence is the only type of intelligence.	A good one, but this rules out all research related to autonomous agents, agents with self-consciousness and other high-level cognitive abilities.
								
True but simplistic. What is "perceive", "reason" ...?	Evaluation capability is just one of the features of intelligence.	"Adapting" implies some kind of action. Intelligence may also be of an "interpretative" nature. Therefore I believe that the definition, although partially true, is biased.	Yes there is a need for a broad competence. However we do not know if AI will be embodied in a "computer system".	General intelligence may not be pragmatic at all. It also depends on how do you define "pragmatics".	The definition (intelligence) should not contain what is being defined (intelligent)...	Yes but it depends on how we define rational. Are we also taking into account the mutual influence between emotional states and reason? This is mandatory!	It seems perfectly acceptable, at least for the moment.	Beneficial AI should be our goal. However "intelligent" may be spread over a network of entities and not just inside an agent.
too generic		I disagree with the principle of "adapting to the environment", intelligence is "being capable to create solutions".						
			“exhibit the full range of the cognitive capabilities we find in humans” seems too restrictive (“full”) and may not recognize incremental achievements		I sufficiently descriptive. “Function” is existence, not intelligence. Adaptability is necessary, but not sufficient for AI.	We already have this, but I don’t think anyone would claim we have a “true” AI. Therefore this is too limited a definition.		AI is not necessarily bound to serve humans. Unbiased is also... difficult to agree upon.
								
								
Perceive what, reason about what, act how? 	Vague.	Seems like good principles, but is not entirely defining what is meant by intelligence.	Seems restrictive to only focus on human intelligence.	"Relative to" is not a rigorous statement of comparison for distributions.	I think intelligent humans are often said to act "inappropriately." I like the part of defining AI as the act of making machines intelligent, independent of the intelligence definition.	This is a common working definition for AI; in fact it is the one I use when teaching; however, it does not account for the fact that humans act irrationally or define any notion of where "best" comes from (e.g. long-term expected reward).	"Common sense" is undefined and thus the definition is vague. Also unclear is what "complex information-processing challenges" means. However, planning, reasoning, and learning effectively all seem paramount to intelligence.	This focus only on guiding and aiding humans and not on autonomous operation for its own sake.
The study of computations does not make "AI". While such studies might be necessary to develop AI, it is a means, not the end.			AI does not need to possess the "full range" of human cognition. 			Don't think AI requires rationality to have "intelligence"		
								
								
								
							There is no reason to require human-level intelligence to the definition and it contradicts common uses of the term by professionals and academics.	
								
								
								
Vacuous without crisp definitions of perception/reason/action. A mechanical light switch could be argued to fall into this category, it perceives/receives an input, applies a simple reasoning (if switch is up -> turn light on), and performs an action.	Too vague.		True, but pie in the sky. 	Barely comprehensible.	Now we're dumbing down "intelligence" so that our algorithms can qualify for it.	I like this approach, it is a more task-focused definition that does not invoke bad metaphors or misguided analogies to human cognitive capabilities.	This is the same overhyped promise that has failed miserably for 70 years and continues to do so, despite claims to the contrary mostly from uninformed popular science.	
								AI does not have to be in service to humans 
		The ability to adapt is one aspect of intelligence, but IMO not the essence.			This description is too vague to be helpful: What is meant by "function appropriately"?	The question seems to ignore the problem that sometimes a situation might be defined too narrowly, which then might label a decision as bad that from a wider perspective could be regarded as intelligent.	Since intelligence has no mathematical definition, taking human intelligence as a  measure is the best and most direct approach to take.	
								
It all depends on WHAT AI you mean AGI AS`?			I think AI will go over neurobiology of the current thinking brain					
AI is more than just study but otherwise OK.	Quite vague and not all encompassing.	Not all AI need to be real-time but otherwise OK		Why measure against computational resources?		Need definition of "best". Not a clear definition.	Not sure about the term "common sense" which sounds vague, subjective and abstract but the rest seems agreeable	AI is more than a service.
Not clear what "guidance and service" (to anything) has to do with intelligence.	This definition is limited to "pragmatic general intelligence". How does it generalize when the qualifiers are removed?	Again, I am not in favor of defining AI as "the study of" something because that is at odds with common usage. The "perceive, reason, and act" construct derives from cognitive science, but it doesn't say anything about doing it well ("intelligently"), and further, it is easy to imagine an intelligence that leaves one of those pieces out. Imagine a machine that is very good at doing mathematics (not just theorem-proving). Arguably, it doesn't need to perceive anything.	While this is vague enough to pass general muster, it does not mention things we commonly assume to be part of intelligence, such as learning, inference, and adaptation.	This doesn't account for computational constraints. Bounded rationality arose as a response to this position a long time ago.	Is the effort only to define general intelligence? What about intelligence that is limited to one (or a few) specific domains? 	Adapting to the environment is half the answer. Adapting the environment to you (niching, e.g.) is equally important.	This presumes we have a clear understanding of "the full range of cognitive capabilities we find in humans." That is unlikely to be settled any time soon. Further, human cognitive capabilities are limited to the human domain. For example, is a machine that does an excellent job of trading on the stock market not to be considered intelligent? It clearly does not exhibit the full range of cognitive capabilities found in humans. In addition, it can be argued that human cognitive capabilities are not suited to trading on the stock market.	I don't think it makes sense to refer to Artificial Intelligence as the process of making machines intelligent. That is at odds with common usage. In the second part, "appropriately" is too ambiguous. It's not clear foresight is needed either. An entirely reactive machine could also be intelligent.
this sounds more like what an academic does, not a definition of  intelligence	too focused on ticking boxes		flexibility seems important	I didn’t really understand this one		people often make mistakes and it is not possible to know what the best possible action is		I think this is limiting and like slavery
							Machine intelligence can be a kind of capability to learn, to respond, to reason, and to act in a well-controlled condition without common sense.	Machine is designed and created by human to serve human.
Too vague	vague. What are these goals? What is a wide range of environment?			The definition says how it is measured, but not what is the threshold: what kind of distribution is required to be qualified as intelligent?				Machine may be intelligent without any goal related to assistance to humans
Too narrow, but good. Leaves out emotionality, empathy, and other facets of experience that can be important in some contexts. 	There's a lot more to life than goal seeking. 	Good generally, but not comprehensive or especially useful	A very good answer, but not to the exclusion of others. O	Sensible, useful, too narrow for THE definition of AI	Don't simple control systems do that? Too narrow. 	Rationality is way too narrow. Effective behavior, even without logic, should be included. 	AI is too broad for any single specific definition to meet all objectives. This definition is generally worthy, although not exclusively so. 	Seems especially narrow
						I think that Intelligence goes beyond "rational actions" and that it is what makes machine intelligence and human intelligence different. The above definition fits "machine" intelligence but this clearly lacks the concept of "empathy" which is, in my opinion, a part of the human intelligence.		
What about imagination?								
								
								
								
								
A decent attempt to pull out the different factors that go into intelligence.	Some exercising of intelligence is exploratory or reactive, not just goal-directed.	Good to see emphasis on bounded rationality, but perhaps too much emphasis on this?	Don't like the focus on human-level intelligence as a gold standard. "Levels" of intelligence seems naive.	Some exercising of intelligence is exploratory or reactive, not just goal-directed.	A bit circular. I like "with foresight", though.	"best possible" is complicated - I see what is meant by it but there is no explicit consideration of bounded rationality etc. Also - "best for whom?".	I like the attempt to pull out the different aspects of "intelligence" in this definition	Very limited - confined just to AI as an aid to human intelligence/action. Perhaps if regarded on a broad enough canvas, yes - but, likely to be read at a micro-level.
This definition assume AI can be achieved within a computational framework.	Ok, but not as good as previous definition.	Yes good definition. Clearly animals manage with limited knowledge and in real time.	Same reason above - definition should encompass animals.	Don't really understand this def.	Not a bad definition.	Action selection is a good starting point.	Any definition must encompass all animals not only humans.	I like the beneficence implied.
						There are no normative statements that can be derived from positive findings. 		
								
								
I would add "be engineered/artificial means". But a compelling triplet.	The emphasis on flexibility/adaptability is nice, but one should define how a wide range of environments should be required.	Sounds like a compelling criterion to include in a definition, although one should also demand some level of performance for something to be called intelligent, imo.	If by Artificial intelligence one means an emulator of human cognitive abilities, which I think is restrictive. Specialized AI is still AI in my opinion.	Seems like a useful definition of EPGI, but I have not encountered it before.	Plus for mentioning making "machines intelligent", although machine might also have to be defined. What counts as "appropriate" though? And how much foresight is required?	Taking a rational decision (utility-maximizing given available knowledge) should be a part of a definition.	Why not also surpass human intelligence? What is common sense?	Defining machine intelligence in terms of what it can do for humans seems like an unnecessarily restrictive definition. And then one would have to define unbiased in this context imo.
								
it is not the study itself. it is the result of the study								
This statement characterizes classical AI rather well, although emphasis has been placed on 'reason', whereas subtleties of perception and action (and their interaction) have received lesser attention.	This is what intelligence tests try to do -- and we know all the biases related to task selection etc. Frankly, I do not think forcing the multitude of abilities that result in intelligent action onto a one-dimensional scale is very useful.	Most of the points characterize the situation well, although I would replace "insufficient knowledge and resources" by "incomplete knowledge and limited resources", as this needs to be sufficient.		I am not convinced that it is a good strategy to investigate general intelligence over a wide distribution of tasks, domains, and types of agents before we do not have a good grasp at understanding more specific cognitive abilities. Pragmatic general intelligence measures cannot provide more than a superficial indication about how well typical tasks can be performed.	I can agree as the statement is vague enough not to be controversial. We now have to ask what is appropriate, what exactly is meant by foresight, and what constitutes the environment.	I believe that we have overrated the role of rational decision making because this is what we could treat best as rationally trained scientists. But does it not appear almost self-evident that commonsense action seen in formally untrained people, in children, and in some animals would not involve the type of reasoning we perform in machines? We have underrated the role of a multitude of influences from the environment, other agents, and sensitivities -- too complex to force into a formal model. I see rational action as one of several important components of cognitive performance.	Definition would be OK if everybody was 'intelligent' through the same set of strengths and their interactions; however, there are many different ways in which we can appear to act 'intelligently'. Thus, we tend to call agents (including humans) 'intelligent' even if their cognitive abilities are restricted to specialized domains.  	
And maybe, for most of its applications, the capability of being empathetic.  	I think very few have success in a wide range of environments, but many can be extremely efficient in a very particular set of contexts. So maybe intelligence is not that much about adaptability. 	I think the main difference of the AI is that it can augment its average capacity in a scalable basis, while humans remain limited by our biological state.  	If its goal is to perform like an average human, "optimal behavior" is not an expectation, since we can't expect it from our kind.  			Maybe "wisdom" can foresee much further than pure intelligence. A "wise" system –human or artificial– could be better on the long term. 	Is just intelligence being efficient with much lesser error margin, given to more processed information. Humans get it –mostly– from experience and machines from data. 	Maybe that is just one of its many applications. 
	Who defines the goals?					Learning imply experimenting, which imply making wrong assumptions sometimes		
	Too simple		Again AI is not a copy of HI				I wouldn't relate AI with HI. AI should include learning, reasoning and planning but perhaps in a different way we do.	I like the ethic part of the definition but find it incomplete
								
								
							Machines never will be exactly like humans.	
computations are prerequisites for an intelligent behavior	the adjective "wide" is fuzzy					if are actions are based on emotional aspects or common sense, does that mean we are not intelligent in those situations?		From the human-centered perspective, I believe so. However, if humans stop existing, would intelligent systems stop existing too? (very philosophical though)
