"think rationally" is both narrow and perhaps circular.	Too narrow, and anticipation of consequences is problematic to define precisely and judge.	I don't know if the set of things is the right set, but the idea that it's whatever you have is appealing.	Having it be behavior is fine.  Adaptivity -- too narrow.					
				If humans are intelligent, then this definition fails --- our thoughts are not organized and coherent, much less responsive to the needs of the environment.			Any technical claim marked by "clearly" is probably wrong.	This is a very Utilitarian description of intelligence and optimality.
	Weak and limited	Again, a Western based vision of intelligence that, for example, completely ignore the complexity of body intelligence and other non-rational forms.	Not only. Intelligent systems act to change their environment	Without mental would be better but the concept of self-governance is good.	Weak and limited	This could be useful (maybe) in primary school.	Weak and limited	No, it's not optimal behavior because there's no optimal behavior in complex domains.
Here you use "his" meaning "human's". That should be changed to plural. This definition is bout "human intelligence" not all possible intelligences.	That is important, but it is not all	It is partial.	I already wrote that not only adaptive but also visionary/anticipative/constructive qualities characterize intelligent agents.	It is partial and introduces another term, "mental" which is even less well defined than intelligence.	It is partial	Se above. "Mental" is used to explain "intelligence".	It is partial.	Now we seem to identify "intelligent" with "rational".
					It remains unclear what "see relationships" and "solve problems" mean.	Human intelligence - besides a mental capability - may also be a practical, social, emotional, or even musical capability.		
				wrong emphasis				Seeking optimum without necessarily achieving it...
wordy and sexist	limited and sexist	wordy	intelligence need not be revealed in behavior	eh, it's vague but on right track	sounds good, but vacuous	flexible	sounds good, but vacuous	
								
See above.	Very narrow	I do not think we are in a position to define Human Intelligence. It is a definition that changes over time (And as presidents change ... :-( ) I personally do not know enough - and doubt any human being does - in order to define it completely and correctly. And I do not think we really need to define it here.	See above.	See above	yes - to some extent. It also means various other things.	See above. This definition is better than others as it acknowledges the breadth needed in a definition.	Clearly? This is all that intelligence is?	See above.
		ignores social context		too inward-directed	important piece of a bigger definition, but too narrow on its own	no mention of critical thinking		
								
								Rationality is not intelligence, nor vice versa.
Too rationality oriented 		Not sure what "intellectual in nature " means	Intelligence cannot be limited to behavior	Too much rationality oriented		Should deepen the "among other things" part. If not the definition is useless	Too narrow	Too rationality oriented 
		"intellectual in nature"? is that supposed to mean rational, or not? I don't understand this. 		organized and coherent? Then not that many humans would be intelligent.				does not seem to fit human behavior
								
Reasonable summary but slightly circular because it includes "think rationally" which itself needs to be defined.	OK, but focuses only on one aspect of intelligence, anticipation.	Because this includes skills and knowledge, this definition emphasizes learned knowledge over intrinsic ability.  Most humans generally think of "intelligence" as an intrinsic characteristic rather than a measure of developed skills.	OK, but focuses on only one aspect of intelligence, adaptiveness.	This is a lovely philosophical statement that doesn't define anything clearly.	OK but limited in scope.	This is much more in line with what most average people consider intelligence to be.	"retain and repeat" is too limiting.  Intelligence must clearly include the ability to synthesize information and apply to new tasks.	Much too academic of a definition to be practically useful.  (Thus, by its own logic, not an "intelligent" statement.)
								
This captures some of the core characteristics at a good level of generality and is well-phrased.  	This says nothing about the nature of that response (in an intelligent case, that response would seek to improve somehow the individual's situation or achieve the goal).  	Not wrong, but I find it messy; it uses too many technical words "generalization" and "learning set", for example.  	This is not wrong but it focuses only on adaptivity, ignoring other qualities one generally expects of intelligent behavior.  	This is actually quite nice (though it obscures the active quality that people usually see in 'intelligence').  	By this definition almost any machine learning algorithm is intelligent.  Sure, in the narrow sense, but too much is hidden in the words "solve" and "problem".  	This is not bad, but it is too long.  I would like it better if the final bit after the dash were omitted.  Also, the contrast to book learning, etc., is too narrow and not appropriate for a good general definition; it fits better into an explication after the definition.  	Unclear what "figure things out" means.  	This is not bad, though it does not define what "appropriate" means.  And I don't think intelligent behavior is restricted to practical affairs alone; specialized ones (even chess) are often more reflective of intelligence than 'practical' ones.  
								
This definition is holistic	There are other aspects - emotion, feelings, fears, etc.	The repertoire can change with time and experience	Does not have to demonstrate ability to meet environment demands. Intelligence can be inherent.		Does not have to be problem-solving focused.	It is broad and comprehensive	Too abstract.	Has a decision-making flavor 
								
								
								
This definition doesn't help to design a test or measure of intelligence.	This definition doesn't help to design a test or measure of intelligence.	This definition doesn't help to design a test or measure of intelligence.	This definition doesn't help to design a test or measure of intelligence.	This definition doesn't help to design a test or measure of intelligence.	This definition doesn't help to design a test or measure of intelligence.	This definition doesn't help to design a test or measure of intelligence.	This definition doesn't help to design a test or measure of intelligence.	This definition doesn't help to design a test or measure of intelligence.
								
								
								
								
	*par of* intelligence	broad definition that acknowledges all skills	This is more in line with what I see as machine intelligence (or perhaps just "intelligence"). However, humans, in order to reach these goals, have a very rich set of potentially heuristic skills, that have become a completely integral part of what we understand under human intelligence.	an important *part of* intelligence	an important *part of* intelligence		an important *part of* intelligence	This is more in line with what I see as machine intelligence (or perhaps just "intelligence"). However, humans, in order to reach these goals, have a very rich set of potentially heuristic skills, that have become a completely integral part of what we understand under human intelligence.
		Would add that this repertoire is applied to doing, problem solving or interacting in the environment				And importantly, doing them.	Important to this notion is actually making decisions and acting on things that have been figured out	We don't behave optimally, but adaptively to a changing social and ecological context 
								
Seems plausible, if "purposefully" and "effectively" (and maybe "rationally") mean to increase biological fitness.	Our ability to imagine (and, especially, have preferences about what we imagine) is clearly a highly adaptive trait.	There is clear evidence of a general cognitive function, first described by Spearman as "G".  It has some relationship to these words, but they are themselves not well defined.  And this definition seems to omit any biological or inherited aspects of the phenotype (despite clear evidence that it is heritable, and some initial indications of genomic loci that play a role in it).	Yes, adaptiveness is a crucial component of any reasonably theory of mind.	Seems to put a lot of weight on what "govern" means.  Is regulate a synonym?  What are "internally driven" needs? Are "environmental needs" anything other than the fitness landscape the organism encounters?  Seems less useful than "fitness" as a concept describing to what are needs need be responsive to.	Necessary, but not sufficient. My phone does this. 	These are important tasks, and align (loosely and imperfectly) with Kahneman's "system 1." Kahneman does a much better job describing these abilities.	Almost opaque. Is "ability to figure things out" more than a poor synonym for intelligence? Other than saying memory is important, this seems completely vacuous. 	Doesn't seem to align with human behavior very well.
	That is just the ability to be able to plan ahead in a generic situation. Not complete in my opinion.	That's a cyclic definition: intelligence is the set of skills considered intellectual (aka intelligent)?	Yes, but it does not cover the ability of understanding and reasoning upon one's own existence, thoughts and skills.		True. Identifying patterns and using them for problem solving is one major aspect of intelligence. However, self-consciousness, self-knowledge, self-criticism, self-* is missing.	True, but this leaves out self-consciousness, a very important part of intelligence in my opinion.	Not a complete definition. It leaves out problem-solving skills, learning, self-consciousness, epistemic thinking and others.	Humans rarely exhibit optimal behavior. This is not due to limited evidence: in fact, behavior is often suboptimal and contradictory with respect to the evidence in their disposal (even if such evidence is incomplete). So I don't think this is an appropriate definition.
								
Yes. The only drawback is that intelligence is associated just to an individual.	Partial definition.	Agree. Except that it excludes some features that may be innate and not acquired...	Partial definition.	Too much egocentric. Intelligence is needed to interpret complex situations even if do not intend to act according the current needs.	Only a fraction of what  intelligence is.	Fair complete definition.	Creativity also relies on intelligence...	Too narrow. Optimization may not be possible (is when intelligent decisions are more needed). What is meant by "practical affairs"?
								
		Mostly differentiates itself by considering memory...	Does not define intelligence; only adaptation.	Very good, but hard to evaluate empirically, so not very useful.	This is very close to “just” inductive reasoning...	Hard to evaluate objectively. Invokes too many implicit concepts.		Human-like AI (and humans) is not necessarily optimal. Or objective.
								
								
	Predicting the effects of actions seems paramount to defining intelligence.	This is very interesting, to think of intelligence as the capabilities of an agent and not the ability to achieve any specific thing.	I agree that intelligence absent behavior is nonsensical.					
								
								
								
								
	Systems that perceive, but do not behave can be interpreted as intelligent too.  For example, deep neural networks for image recognition are AI, but do not have actions.							It is too restrictive to require true "optimal" behavior.  Even humans often behave sub-optimally.
								
								
								
Intelligent behavior does not entail "effective" dealing with the environment. Creative and emotional processes can be very inefficient, yet we would not consider an entity humanly intelligent if it lacks these inefficient but quintessential human qualities.	Too narrow.		With this definition, most warehouse robots are intelligent, most humans are not.	The "internally driven needs" could be an interesting aspect.	Too narrow.	Lacks a notion of emotional intelligence, creative intelligence, etc.	Too narrow.	Too narrow.
								Doesn't have to be optimal 
	I agree, but it's only part of intelligence.	Too behavioral a definition IMO.	Too narrow. Intelligence also shows in non-changing environments.		Seems too narrow a point of view.			
								
This is too rational, I think more neurobiological								
Needs to be made gender neutral								
	Optimality is too strong a requirement. 	I am sympathetic to this definition, but the question is, is there no other way to solve problems? Is "seeing relationships" necessary?	Mathematical intelligence, for example, might involve solving a difficult problem that takes years to figure out.		It is hard to define what is considered "intellectual in nature". For example, is playing tennis a skill that is a part of intelligence? I would not describe it as an activity that is intellectual in nature, but definitely requiring intelligence.	Many of the things we do, that are deemed "intelligent", have little to do with our environments, e.g., writing (or reading) a novel, playing games, etc.	Anticipation may be a component of intelligence, as it is a component of planning, but it is not the whole of it. For example, it leaves out learning.	People considered intelligent may also be very disorganized.
Emphasis on multiple aspects/components	very simple, but doesn’t give the individual any power to change situations	too dry - we are more than problem solving	again, a passive view	I like this because it brings in self-awareness and choice	seems too narrow - not just to see relationships but to seek them and test for them and imagine them	more generous in scope but feels dry	too vague	again, I didn’t really understand this one
								When considering providing service, the optimization of objective function and other conditions (such as safety, energy, etc.) can only reach a tradeoff.
				internally driven needs				too psycho
Not sure this adds much, but awkward	Too narrow, but one of the many facets	But is this useful? How would it help the field?	Broad, weak	Another facet, but not the totality. Governance is often achieved by constraints, not necessarily mental 	 Narrow but correct	This is better because it's open, broad, yet specific. Listed here are about 10 facets. I expect we will ultimately list hundreds!	Sure, but this isn't very pointed or useful	Rests too much on goals, but these are not generally evident. Does every constraint become a goal? How overloaded is that?
								
								
								
								
								
								
I like "purposefully" rather than "goal-directed"/"problem solving" - this captures the spirit of intelligent action in a wider context that includes exploratory intelligence. 	A bit limited.	A bit circular (intellectual: intelligent). Don't like "problem-solving" - some intelligence is exploratory or reactive, not just problem-directed.		Good as far as it goes, but doesn't really break it down much.	Decent as far as it goes, I like "see relationships", but ignores less goal-directed processes such as exploratory and reactive intelligence.	One of the better of the "list" definitions - captures the right set of things.	Good to see the "reactive" intelligence in here, but a bit limited otherwise.	Good to see the consideration of bounded information. Some intelligence is exploratory or reactive, not just goal-directed.
This is better than previous, but still too much emphasis on rational.	Yes, anticipation is important to human intelligence, but again not the whole thing.	Why 'intellectual'? This def. would be ok without the 'considered intellectual in nature'.	Yes intelligence cannot really be thought of except in terms of behavior.	But our thoughts are clearly not organized and coherent, much of the time!	Human intelligence is not one thing - so cannot be reduced like this.	Ok, but still too much emphasis on reason.	True, but this is also the case for many animals.	Same objection as above. What about intuition or empathy.
								
								
								
Aggregate AND? global? purposefully, think and "deal with" are fuzzy terms. The requirement of a range of abilities is both appealing and problematic imo.	Given poor information, the anticipation/prediction may also be poor. But adequate prediction and response should be part of a definition.	I like generalization and learning sets, but "intellectual in nature" could be exchanged for "problem solving skills".	I like the inclusion of flexibility.	Too much cognition-based imo. what is the distinction between "internally driven needs" and the "needs of the environment"? And how would the former be defined for machines?	Problem solving is nice because it is pragmatic, and ability implies a level of quality. Relationships could be fleshed/out/clarified however.	Although not very precise, its essence is resonates with my idea of intelligence. Emphasizes breadth, creativity and flexibility.	The latter should be included, but the past might be a very recent past, in which case it is trivially necessary. "Figure things out on the spot" in itself is quite fuzzy.	Appropriate. Goals. Available evidence. Optimal (in a practical sense). Neat.
								
								
This is how we often use the notion informally; at the same time it will not be very helpful for scientific investigations.	This is one example of the manifestation of 'intelligence'.	I don't think it is restricted to acquired skills and I am afraid it may be not fully available sometimes.			Often this is what makes someone appear intelligent; but we need to look why certain people see certain relationships and some don't; often this may be trained experience that appears stunning to someone who doesn't have that experience rather than a completely different way of thinking.			We would first have to agree on optimality criteria before I can agree with the statement.
I think you can have a global perception of an individual, but it can be very broken in one area, and a master on another. 	Is just one perk of an intelligent person, but not necessarily present in all the intelligent people. 	I think that is more the result of it. 		Is just one type of intelligence that most of generally intelligent people lack of. 	Relationships are just one scenario. 		I don't think speed is the ultimate characteristic of an intelligent being, but it is a good reference. 	
								
								
								
								
								
								
Ok, but doesn't really help.		Circular.				Not very useful and possibly circular. Is there any "mental capability" that cannot be qualified as "intelligence"?		
I'm not sure whether it's about the behavior looking intelligent or the reasoning being intelligent/rational.	A bit light. What about goals, learning, ... ?	What about reasoning? Is that just a skill in this definition?		Looks too vague and prone to discussions. What does it mean (not) to be organized/coherent? Does self-government imply self-consciousness? ...		I am a bit disturbed by the presence of "abstraction".  What does it mean to think abstractly? Is it about thinking with symbols? Where are symbols in a brain? How do we know whether some animal with a brain uses symbols?		
								
					Intuition and imagination are missing			
								
								
		Describes the tools in the toolbox, but not the general intelligence wielding them.			Needs to be expanded. E.g. does "see relationships" require the ability to generalize?			
	"A given situation" could be just one simple situation. There are already narrow AI programs that do one simple thing very well. That is insufficient for "real AI".					I think this definition assumes a human-like way of thinking. I believe that the most successful AI systems won't be thinking in a human-like way.		
							Nothing about intelligence is "clearly"	
Tired					Mildly agree, because very open, many animals "see" relationships and use them to solve their animal problems. 			optimal, optimization are asking too much
Performance?	Perception? 	Performance?	Performance?	Performance?	Too weak. 	Mostly examples, no performance	Performance  	
				This is the worst of the proposed answers. Intelligence is not just 'mental' or cognitive. There is a huge amount of intelligent behavior in cells, and even on lower levels sometimes.			Too cognitive. Intelligence is more than the ability to figure things out or repeat them.	
				I choose this one - comprehensive				
N/A: This is a question for a psychologist or an English major.	N/A: This is a question for a psychologist or an English major.	N/A: This is a question for a psychologist or an English major.	N/A: This is a question for a psychologist or an English major.	N/A: This is a question for a psychologist or an English major.	N/A: This is a question for a psychologist or an English major.	N/A: This is a question for a psychologist or an English major.	N/A: This is a question for a psychologist or an English major.	N/A: This is a question for a psychologist or an English major.
								
								
Defines AI in terms of other poorly defined concepts.	Too specific to anticipation, consequences, and action.	Why just acquired? Definition doesn't say what makes that repertoire intelligent vs not intelligent.	Too many weasel words: essentially, adaptive, effective, etc.	Mental is undefined. Why focus on self-government? "Organized" and "coherent" are not well enough defined to be used in this definition.	Why focus on specifically relationships and solving problems?	Far too words, but parts of it would contribute to a reasonable definition.	Too focused on when answers are generated.	Hurt by use of the words "rationally," "appropriate," "goals," "beliefs," "optimal," and "practical."
					To limited. 			
		Doesn't define what is required to be intelligent. Simply states that one's intelligence is what one is. So sure. 	Don't need to adapt to be intelligent. You can be intelligent in a given environment only.	Intelligence doesn't require drive, needs, or the needs of an environment.	This is required for human-level intelligence, but not other intelligence necessarily. But doesn't define it necessarily.	Human-level intelligence has these features. But animal intelligence does not have them all.		No need for goals and optimization to be intelligent.
								
Better but still. How is rationally defined since its part of the explication (in Carnap's sense) of intelligence? 	Not only. The individualism behind these definitions is discomforting. 	Again, too individualistic!	The dynamic aspect of intelligence and the fact that this definition encompasses the environment is a plus. 	Too narrow and mentalistic...	Not bad but that's just one aspect. 	The second half is much better than the first...	It could be a collective skill, which is good. 	Reeks too much of economic reasoning. 
								
								
I do not agree that it is an aggregate or even that you are trying  to aggregate more than a very narrow set of human capabilities. You seem to assume that to act purposefully you must think rationally or that either are needed to deal effectively with the environment. Why is the word 'social' nowhere in evidence when we know that humans are social animals and that the development of individual capabilities (for example language!!) requires a long period of socialization?   And what's with the 'his'? Or is this men-rational women-emotional creeping in?	Up to a point. But it could be the ability to respond really quickly without anticipating.	Why are motor skills nothing to do with intelligence? Emotional intelligence? Social intelligence?	Much better and more compatible with a multi-dimensional view.	Up to a point. But not 'the essence'. And why is affect not mentioned anywhere?	Why start with the assumption that human intelligence is a single thing when many theorists have adopted a multi-dimensional view? And how can anyone that has a multi-dimensional view sensibly answer the questions on this page when they disagree with the premise? The answer is almost always bound to be 'up to a point'. In this one, it depends what you mean by 'relationships' and 'problems'.	Up to a point. 	Up to a point.	Juggling clubs makes use of intelligence too. So does child care. So does artistic work. So does counselling. So does a night in the pub. This is so US individualism.
	There is something like the collective intelligence.	This one also seems to limit the imagination (thinking about things that are not available).	Intelligent thought can exist without action.				Imagination excluded.	This one sounds like undermining imagination (thinking out of the box of existing evidences).
								
								
Quite ok in the "deal effectively with environment" part. Rationally can lead astray since it could be seen as value-based/biased.	Well, not only. Prediction is not everything or at least it does not give enough details on what it means. Less helpful.	Almost tautological. Avoid.	Fairly good but possibly too general as to be useful. But I think having an essentially "outside" view and definition is to be preferred to having a definition that requires us to "peek inside" the agent in question.	I'm not sure all/many humans that we consider intelligent are always or even often especially organized. Seems this definition introduces unnecessary bias as to what is really needed.	Too general. Relationships is not all there is to it and "solve problems" is not helpful/detailed enough.	I think we should avoid having definitions that are basically lists of things we have not yet fully understood or seen relations and patterns among/between. This is fairly good in pointing out that there is/might be a general/common core to these things though.	Sure, a bit too general to be helpful though imho. Also does not give enough focus on the "dynamic" aspects.	Yes, this is quite close to my own/preferred one from the page before on machine intelligence. Here it is stated more generally but also risk being more misunderstood. I prefer the more detailed one from earlier (my own/mixed one).
	This is definitely true and part of the definition, but not all of it.	Both circular and almost silly. "all skills available at any time" but also intellectual in nature? This is the worst one yet!	I really like calling it a quality of behavior. This is a good, clear, actionable definition.	This seems wrong. Intelligence isn't about self-government, but about interaction with an environment. This is turned inward way too far.	Too narrow	This gets closer to the messiness that is intelligence.	True, but very vague.	Not a bad definition, but not terribly helpful for building AI
"His" environment? C'mon!	If you see my comments in the first items, this reflects Huber's second step in decision making. This is thus  incomplete.	This is suggesting "how" and not "what". A definition should be about "what".	This is aligned with rational behavior, but it focus on the adaptive aspect only, which is crucial, but not a way to define machine intelligence.	This would be proper to define human intelligence, not machine intelligence. 	Solve problems may be a bit limited. There may be many ways to solve problems that are not necessarily rational. Focusing on relationships may be a bit limited because it suggests a "how" and not a "what", which is what a definition should bring.	This would be proper to define human intelligence, not machine intelligence. 	Very narrow facet, even if valid.	This is good in that it proposes rational behavior and the idea of knowledge, which are beliefs. I find the need of available evidence a bit limiting. I also like the individual's goal because it bring the fact that intelligence is context- and mission- oriented.  
							No creativeness.	
								
	Yes, true but this is just some property of an intelligence system; not all of it.	This is the everyday definition of intelligence. 		I agnostic to whether self-government or consciousness is really needed for intelligence.	Yes, true but this is just some property of an intelligence system; not all of it.	I prefer to use Intelligence in the sense of the set of cognitive skills demonstrated by humans.		This definition should include 'given the available resources and time'
								
Similar comments to the above. 	Extremely intelligent people may be quite poor at responding to situations. Einstein was not a particularly good driver. 	True but so general as to be meaningless. What would NOT be part of such a repertoire?	The first sentence is a philosophical mistake. 	This defines what might be called human sanity, rather than intelligence. Extreme intelligence in humans is often very weakly correlated with this kind of good self-government. 	Too limiting. 			Ditto. 
too human-esque	what about the consequences of other's actions?	"considered intellectual in nature"? circular definition	a good addenda?	governance not necessary to intelligence	succinct and relevant but incomplete	too wordy	good description of functional definition	what goals and beliefs do machines have?
				In cybernetics, all auto-poetic (self-maintaining) systems have a form of intelligence, from cells to humans. 				Beliefs are not necessarily rational or in line with available evidence.
								
	only a partial description				only a partial description		this is part of what it means to be intelligent, but it's not a definition.	intelligence cannot be reduced to efficiency, optimal behavior.
Models of intelligence separate the concerns of purpose as composed with the alternative actions. What are the outcomes and results?	Yes, partially, but terribly incomplete.	Intelligence is a separate concern, applied to knowledge.	Why we use Category Theory - to describe the objects, their structure, behavior and morphism in contextual environments.	Don't know what you'd call this, but it isn't intelligence.	Yes, partially, but how can you tell if the patterns "seen" are real? Apophenia?	The complex layers of understanding and abstractions in "comprehension".	Incomplete and inconsistent.	Justification (justified true belief) is too low a bar for "appropriate action".
								
								
								
Seems true, but focuses on a single aspect (global / parts)	Ignores resources.	Leaves out what it means to take decisions, and for a decision to be good/rational.	Stresses adaptivity too much at the cost of other aspects.	Intuitively good and useful as a rule of thumb, but lacks precision.	Good but ignores the issue of limited resources.	Intuitively good and useful as a rule of thumb, but lacks precision.	Too vague and specific, including just one particular aspect (generalization/reuse).	Good, but leaves out bounded rationality. Intelligence does not need to be optimal, and in fact rarely is.
								
								"Optimal" is a very strong word, and likely the wrong one.
								I think that intelligence doesn't only mean optimization of one's goal, but also social goals (even though you can say that in these cases one's goal = social goals). I also think, as research have shown, that acting rational with people doesn't always generate good outcomes as people are not rational, thus this effect the intelligence behavior
								Intelligence is not just rational thinking
								
								
I agree with all but rationality (often times rationality does not work or does not make sense).	I am sure that in many cases no anticipation is or should be involved.	I would agree but this definition tries, unsuccessfully, to quantify everything.		I agree. This is a cybernetic/autopoietic vision, and I know that most colleagues would disagree (or at least find it useless)	That's one dimension of intelligence.	It's vague, and that's why it's right.	Basically, this is exploration and exploitation.	Rationality does not necessarily imply optimality, and vice versa, in an uncertain world.
See above -- use of term "rationally" is too restrictive.	See above -- use of term "anticipating" is too restrictive.	See above -- use of term "problem solving skills" is too restrictive.	Are actors on a stage not exhibiting intelligence if they perform the same play night after night?  What is the changing environment?  Perhaps one can argue minor modifications occur in timing and voice of other actors, but this definition doesn't come close to the nuances of adaptation that might be occurring.	I am not going to comment further on each definition that fails to specify a context/domain or purpose for the definition.	See above -- use of term "problems" is too restrictive.	Reference to "mental" is too restrictive -- how are interactions possible in the real world without a physical embodiment?	As an engineering or cognitive science definition, this appears too informal. Does "figure things out" include asking someone for help?  Does "retaining things" include reading notes?  The definition is too broad to be helpful to most engineers and scientists. It is perhaps interesting for laypersons -- again, what is the purpose, the context in which this definition is supposed to be useful?	See above -- use of term "rationally" and "goals" is too restrictive.
								
								
Def of smart regular person not a nerd	Not all consequences can never considered		Part of a definition	Crazy people so genius things too	Part of definition			
	Sometimes all consequences are not taken into account; not a comprehensive definition	Doesn't take into account adaptability			Doesn't necessarily take into account accumulated knowledge			From a human perspective, many highly intelligent people are not very practical when it comes to everyday life. They may be highly focused in one or more areas of interest
								
								Like I've mentioned previously, it is more than this.
						weak definition		
	We don't always do this even though we are intelligent.	Clumsy		Some intelligent people are clearly not good at self-government.	In part...	Could be shorter	Vague	Not all behavior is optimal...e.g. altruism
								
	Again, this seems part of the picture, but not the whole of it.	Really?  All of the skills, including muscle memory?  Seems too broad.		Note that this is as much about emotional executive function as rational thought.	Again, this seems part of the picture, but not the whole of it.		Intelligence needs these aspects, but it is doubtful those are sufficient.	
This seems to cover the area quite well. It mixes rationality with the environment. All it needs is something real-time to add to it. 	Certainly a *part* of intelligence, but not a definition of it.	I like this, but would like it more if it were paired with actually doing something in an environment.	I think  this is true, but does not cover the whole gamut of intelligence. 	This may be a definition of an organized, possibly moral animal, rather than of an intelligent one. 	While this is part of an answer, I find it too abstract.	I'd say this lacks grounding. 	There's a real-time aspect here that's appropriate, as well as a remembering (=learning) which is also appropriate.	I think the fulfilment side is irrelevant. 
								
Global focus is a side issue	The lowest bacteria would have this surely	Just book learning or reference	Not emergent	Neither here nor there	See relationships'? Excessively vague	More accurate	Vague	Neutral
								
	Not sure all human intelligence involves anticipating possible consequences.	Very interesting because it allows for variability in intelligence over time and circumstance.		I would revise this to say that mental self-government is one function of intelligence.	Simple, but not bad!	This attempt at a definition is a minestrone soup consisting of many ingredients.  It wouldn't be bad, but the bit about intelligence being "not merely book learning, a narrow academic skill, or test-taking smarts" is a fly in the soup, because the word "merely" suggests that book-learning, etc. is essential to intelligence, implying that illiterate people are not intelligent, which of course is false.	This definition seems on the right track, but the "and" in the middle is problematic.  Does it mean that entities that don't have both abilities are not intelligent?  Is an entity intelligent if it can "figure things out on the spot" but cannot "cannot retain and repeat things that have been figured out in the past"?  Flatworms and advanced Alzheimer's patients can "retain and repeat things that have been figured out in the past" through training, but they cannot "figure things out on the spot".  Are they intelligent?	Too narrow.  For example, it is difficult to imagine how the insights that led A. Einstein to e = mc**2 would be a product of "optimal behavior in the domain of practical affairs".
								
	mostly correct, but isn't there also an intelligence of groups? 			I do not understand self-government.	too simplistic		missing: evaluation of the consequences of a particular action/decision.	Optimality cannot always be achieved, e.g. if the objectives are constantly changing...
				I don't think human thoughts and believes are necessarily coherent at all times. Logically speaking we are capable of holding contradictory thoughts and believes without realizing that this is so. If one conceives of such a state as unintelligent, then we may declare quite a few of our compatriots and maybe even ourselves as unintelligent.  				
								Optimality is desired, but may not be feasible for many complicated scenarios. 
Too convoluted but at the same time attempting to cover all the bases.	Seeing relationships and responding to situations is governed by how one reacts.	A repertoire is life's inventory	Reasoned responses are governed by our levels of intelligence	Intelligence enables us to govern our abilities 	Intelligence is much more than the ability to see!	The definition is inherently neutral	We continue to 'figure things out' as we go from generation to generation from century to century.  But never before as exponentially as in the now!	Is a terrorist exhibiting 'optimal behavior in the domain of his practical affairs?
								
								
		not just intellectual. E.g. motor control.						
Vague description, not prescription.	Necessary, but not sufficient.	This seems to be defining something else than what this survey is after. Intelligence (the individual noun) is different from intelligence (the mass noun).		Not sure this makes sense. Even unintelligent insects have these qualities.	Necessary, but not sufficient.	Description, not a prescription	Necessary, but not sufficient.	Close, but too strict. Real agents can't be optimal. Maybe asymptotically optimal, but not truly optimal in general.
what does "purposeful" mean and where does "purpose" come from?				This definition talks about how intelligence relates to the meta-level, our ability to change our own reasoning processes, and relates to the notion of person defined in Frankfurt, H. G. (1971). Freedom of the Will and the Concept of a Person.	Where do the problems come from?	The "comprehending our surroundings" is key, it relates intelligence to sentience.		That's a BDI agent.
								
								
More of the same, albeit introducing the distinction between global and aggregate.	The first definition that explicitly mentions self-awareness! Unfortunately, limits itself to it.	More of the same.	More of the same.	Basically, self-control. Important aspect, but there seems to be more.	Perception, problem solving. A bit narrow.	Verbose, but again boils down to the basics: environment, reasoning, action.	Kind of a problem-solving definition. Yes, but again there seems to be more.	This definition can easily be applied to machine intelligence, too. Goals, actions.
	too limited	Not bad (what's a "generalization tendency"? I think the author means heuristics, in which case this is even better, but this must be fleshed out further).	I like the connection to behavior (but in other definitions, "activity", which is a better choice, but probably the authors use the terms indiscriminately) and adaptation.  I don't like the restriction to "meeting the demands of a changing environment". As if all intelligence is about is responding to stimuli	"Correct" behavior is intelligence?!	too limited	Maybe the best so far, the real content is in the last two lines, but these are exactly what we need to define better.	"clearly" (!!!), "figure things out" "repeat things"... woefully insufficient	What is it with these people and "appropriate" action! But this is at least a decent definition, even if it emphasizes "optimization of goal fulfillment"
								
								
More grapeshot -  aggregation is good though.  It reminds us that intelligence isn't one thing.	No.  Quick intelligent action, in sports for example, can have little anticipation in it.	Wordy  -  useless.	Obvious, but so what?	Ungoverned thoughts  -  imagery and free imagination are vital to natural human intelligence	Thin.	Diffuse grapeshot that's bound to have some truth in it but so what?	You don't always have to figure things out.  Piaget defined intelligence as "what you do when you don't know what to do"	Too dependent on rationality
								
I agree some parts of the assessment, and I think they could serve to organize requirements and principles for the artificial analogy. I would require more arguments and discussion to understand the justification of aggregated element.	I agree with the statement, but I don't think it is a general definition of Intelligence. Again, I think it is a part rather than the whole.	I am not sure to understand the boundaries and viewpoints of this assessment. Under my current viewpoint, it does not show a general view of the problem. However, I might be wrong if I analyze it from a different perspective.	It does not seem to refer intelligence but behavior (or intelligent behavior). Under my viewpoint, this answer is away from the base of our discussion.	I really agree the assessment, and I think it could serve to organize requirements and principles for the artificial analogy.	I agree with the statement, but I don't think it is a general definition of Intelligence.	I think this is a set of functions that are resulting from the functional resources which intelligence provides. Someway, this knowledge comes from empirical knowledge on the basis of observation of the intelligent behavior. I don't think it serves as a definition. 	It seems to refer a part rather than a whole.	Even when I would need to know what the individual's goal is regarding, I would give the same argument that I have manifested in previous questions in this survey. That is, the human being is a great counterexample to deny the features of optimal or appropriate behavior. We could discuss the characteristic of appropriateness concerning a defined problem domain, but not globally. 
								
								
								
								
								
								
	This is part of what it is but not sufficient.							
								
								
								
								
								
		I would change "repertoire of acquired skills" into "potential to acquire these skills".						Optimality would require an objective function. Which is an ill-posed-task.
		Intelligence is ... intellectual in nature??	I believe that behavior is not necessarily a good indication for intelligence.		This is at least one aspect of intelligence.		I find repeatability an important aspect.	I don't believe that intelligence is optimization of fulfillment.
